threads,run,packets_analyzed,alerts
1,1,4357561,2894382
1,2,4420388,2936123
1,3,4410549,2928478
1,4,4410980,2931464
1,5,4342801,2886508
1,6,4420946,2937242
1,7,4363579,2898067
1,8,4360014,2895985
1,9,4295397,2855512
1,10,4342680,2884498
2,1,7814667,5199521
2,2,7849263,5223152
2,3,7861838,5229637
2,4,7774943,5172288
2,5,7804825,5193469
2,6,8024661,5339629
2,7,8074644,5372167
2,8,7793696,5185276
2,9,8012101,5330935
2,10,7856176,5227759
3,1,11877811,7908527
3,2,11921570,7937155
3,3,11806666,7860491
3,4,11747239,7821343
3,5,11735741,7812781
3,6,11560328,7697192
3,7,11635299,7746667
3,8,11641416,7750629
3,9,11852881,7891301
3,10,11666505,7767000
4,1,14643378,9752400
4,2,14643384,9752400
4,3,14643375,9752400
4,4,14643376,9752297
4,5,14643399,9752400
4,6,14620049,9736826
4,7,14643405,9752400
4,8,14643366,9752400
4,9,14643384,9752400
4,10,14643374,9752400
5,1,14643361,9752400
5,2,14643389,9752400
5,3,14643378,9752400
5,4,14643385,9752400
5,5,14643397,9752400
5,6,14643370,9752400
5,7,14643386,9752400
5,8,14643378,9752400
5,9,14643371,9752400
5,10,14643388,9752400
6,1,14643365,9752400
6,2,14643404,9752385
6,3,14643367,9752400
6,4,14643391,9752400
6,5,14643380,9752400
6,6,14643381,9752400
6,7,14643377,9752400
6,8,14643383,9752400
6,9,14643369,9752400
6,10,14643405,9752400
7,1,14643347,9752400
7,2,14643421,9752400
7,3,14643351,9752400
7,4,14643401,9752400
7,5,14643370,9752400
7,6,14643386,9752400
7,7,14643377,9752400
7,8,14643395,9752400
7,9,14643355,9752400
7,10,14643417,9752400
8,1,14643342,9752400
8,2,14643419,9752400
8,3,14643347,9752400
8,4,14643402,9752400
8,5,14643374,9752400
8,6,14643385,9752400
8,7,14643375,9752400
8,8,14643397,9752400
8,9,14643347,9752400
8,10,14643416,9752400
9,1,14643341,9752400
9,2,14643411,9752400
9,3,14643368,9752400
9,4,14643384,9752400
9,5,14643379,9752400
9,6,14643374,9752400
9,7,14643376,9752400
9,8,14643396,9752400
9,9,14643366,9752400
9,10,14643410,9752400
10,1,14643364,9752400
10,2,14643395,9752400
10,3,14643372,9752400
10,4,14643377,9752400
10,5,14643389,9752400
10,6,14643364,9752400
10,7,14643394,9752400
10,8,14643387,9752400
10,9,14643376,9752400
10,10,14643388,9752400
11,1,14643369,9752400
11,2,14643381,9752400
11,3,14643381,9752400
11,4,14643378,9752400
11,5,14643398,9752400
11,6,14643360,9752400
11,7,14643410,9752400
11,8,14643367,9752400
11,9,14643391,9752400
11,10,14643383,9752400
12,1,14643369,9752400
12,2,14643380,9752400
12,3,14643392,9752400
12,4,14643371,9752400
12,5,14643406,9752400
12,6,14643343,9752400
12,7,14643416,9752400
12,8,14643360,9752400
12,9,14643400,9752400
12,10,14643372,9752400
13,1,14643378,9752400
13,2,14643371,9752297
13,3,14643407,9752400
13,4,14643349,9752400
13,5,14643416,9752400
13,6,14643333,9752400
13,7,14643418,9752400
13,8,14643360,9752400
13,9,14643404,9752400
13,10,14643374,9752400
14,1,14643378,9752400
14,2,14643372,9752400
14,3,14643402,9752400
14,4,14643359,9752400
14,5,14643415,9752300
14,6,14643344,9752400
14,7,14643405,9752400
14,8,14643366,9752400
14,9,14643382,9752400
14,10,14643373,9752400
15,1,14643374,9752400
15,2,14643375,9752400
15,3,14643402,9752400
15,4,14643368,9752400
15,5,14643401,9752400
15,6,14643351,9752400
15,7,14643387,9752400
15,8,14643374,9752400
15,9,14643383,9752400
15,10,14643395,9752400
16,1,14643372,9752400
16,2,14643390,9752400
16,3,14643370,9752400
16,4,14643389,9752400
16,5,14643385,9752400
16,6,14643361,9752400
16,7,14643388,9752400
16,8,14643385,9752400
16,9,14643380,9752400
16,10,14643404,9752400
